A  ,Element,Z  ,N  ,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma   ,B_exp (W.u.),B_exp Unc (W.u.),,
22,NA     ,11,11,4710,0.4,(5+)              ,37 FS 14                 ,1741.3,        ,E2        ,14,6,          ,                
22,NA     ,11,11,1951.8,0.3,2+                ,8 FS 2                   ,1294.8,        ,[E2]      ,15,5,          ,                
22,NA     ,11,11,3706.7,0.4,6+                ,59 FS 12                 ,2176.5,1,M1+E2     ,15,5,,
22,NA     ,11,11,1528.1,0.3,5+                ,3.42 PS 0.24             ,637.5,0.2,M1+E2     ,16,5,,
22,NA     ,11,11,1983.5,0.5,3+                ,1.47 PS 0.15             ,1400.4,0.5,E2        ,18.9,2,          ,                
22,NA     ,11,11,5100.4,1.3,4+                ,38 FS 12                 ,2039.1,        ,(E2)      ,21,8,          ,                
22,NA     ,11,11,890.89,0.2,4+                ,10.0 PS 0.3              ,890.87,0.2,M1+E2     ,25.1,0.9,,
23,NA     ,11,12,6578,0.6,"(9/2+,5/2+)       ",11 FS LT                 ,4501,1,M1+E2     ,0.045,                ,,
23,NA     ,11,12,6578,0.6,"(9/2+,5/2+)       ",11 FS LT                 ,4501,1,M1+E2     ,0.045,                ,,
23,NA     ,11,12,3914.6,0.4,5/2+              ,6.9 FS 1.4               ,3914,1,M1+E2     ,0.8,0.3,,
23,NA     ,11,12,6115.1,0.6,(11/2)+           ,35 FS 9                  ,4038,1,[E2]      ,0.89,0.25,          ,                
23,NA     ,11,12,4775.2,0.5,7/2+              ,1.4 FS LT                ,4335,1,M1+E2     ,0.93,                ,,
23,NA     ,11,12,2982,0.5,3/2+              ,3.3 FS 0.4               ,2541.3,0.9,M1+E2     ,1.4,1,,
23,NA     ,11,12,5534.2,0.6,11/2+             ,10.4 FS 0.6              ,2830,1,M1+E2     ,1.7,1.1,,
23,NA     ,11,12,7268.1,0.6,13/2+             ,18 FS 6                  ,4564,1,E2        ,1.8,0.6,          ,                
23,NA     ,11,12,2390.9,0.3,1/2+              ,0.60 PS 0.14             ,1950.6,0.4,E2        ,2.9,0.7,          ,                
23,NA     ,11,12,9802.9,0.8,(15/2+)           ,4.2 FS 1.4               ,4269,1,E2        ,3.5,1.4,          ,                
23,NA     ,11,12,5378.56,0.15,5/2+              ,143 AS 21                ,4937.8,        ,M1+E2     ,5,4,,
23,NA     ,11,12,5534.2,0.6,11/2+             ,10.4 FS 0.6              ,3458,1,E2        ,6,4,          ,                
23,NA     ,11,12,2076.2,0.4,7/2+              ,27 FS 3                  ,2076.7,0.8,E2        ,12.2,1.5,          ,                
23,NA     ,11,12,2076.2,0.4,7/2+              ,27 FS 3                  ,1636.6,0.8,M1+E2     ,14.6,2.2,,
23,NA     ,11,12,6235.4,0.6,(13/2+)           ,16 FS 8                  ,3531,1,(E2)      ,15,8,          ,                
