Nucleus,Elevel(keV),Jpi,T1/2
25AL,5785 7,1/2+,? 15 keV
25AL,5804 4,"(3/2,5/2,7/2)+",
25AL,5804 4,"(3/2,5/2,7/2)+",
25AL,5804 4,"(3/2,5/2,7/2)+",
25AL,6122 3,3/2+,51 keV 2
25AL,6170 2,"(3/2,5/2,7/2)+",
25AL,6170 2,"(3/2,5/2,7/2)+",
25AL,6170 2,"(3/2,5/2,7/2)+",
25AL,6517 7,3/2+,64 keV 16
25AL,6620 9,"3/2+,5/2+,7/2+",
25AL,6620 9,"3/2+,5/2+,7/2+",
25AL,6620 9,"3/2+,5/2+,7/2+",
25AL,6650 5,5/2+,58 keV 9
25AL,6740 5,1/2+,152 keV 11
25AL,6829 4,5/2+,58 keV 9
25AL,6877 7,"(3/2,5/2,7/2)+",
25AL,6877 7,"(3/2,5/2,7/2)+",
25AL,6877 7,"(3/2,5/2,7/2)+",
25AL,6909 10,3/2+,
25AL,7118 5,3/2+,117 keV 4
25AL,7240 3,5/2+,19 keV 4
25AL,7422 5,(7/2)+,
25AL,7646,"(3/2,5/2,7/2)+",50 keV 15
25AL,7646,"(3/2,5/2,7/2)+",50 keV 15
25AL,7646,"(3/2,5/2,7/2)+",50 keV 15
25AL,7717 10,3/2+,230 keV 20
25AL,7901 2,5/2+,0.105 keV 18
25AL,7970 2,3/2+,1.30 keV 14
25AL,8077,"(7/2,9/2)+",15 keV 7
25AL,8077,"(7/2,9/2)+",15 keV 7
25AL,8186 3,"(3/2,5/2,7/2)+",40 keV 10
25AL,8186 3,"(3/2,5/2,7/2)+",40 keV 10
25AL,8186 3,"(3/2,5/2,7/2)+",40 keV 10
25AL,9073 7,"(3/2,5/2,7/2)+",
25AL,9073 7,"(3/2,5/2,7/2)+",
25AL,9073 7,"(3/2,5/2,7/2)+",
26AL,0,5+,7.17�10+5 y 24
26AL,228.305 13,0+,6.3460 s 8
26AL,416.852 3,3+,1.20 ns 1
26AL,1057.739 12,1+,25 fs 5
26AL,1759.034 8,2+,3.8 ps 6
26AL,1850.62 3,1+,32 fs 3
26AL,2068.86 5,(4+),310 fs 50
26AL,2069.47 3,(2+),14 fs 2
26AL,2071.64 4,1+,367 fs 69
26AL,2365.150 18,3+,0.8 ps 2
26AL,2545.367 17,3+,0.69 ps 17
26AL,2660.92 5,2+,3 ps 3
26AL,2740.03 3,1+,31 fs 3
26AL,2913.40 5,2+,68 fs 4
26AL,3073.63 4,3+,194 fs 31
26AL,3159.889 13,2+,3.5 fs 7
26AL,3402.65 6,5+,67 fs 12
26AL,3507.63 8,6+,17 fs 3
26AL,3596.34 4,3+,18 fs 3
26AL,3674.92 5,4+,155 fs 20
26AL,3680.68 6,3+,8.3 fs 14
26AL,3723.81 4,1+,4.2 fs 14
26AL,3750.90 4,2+,22 fs 6
26AL,3753.63 13,0+,5 fs 2
26AL,3921.96 24,"7+,(5+)",19 fs 4
26AL,3921.96 24,"7+,(5+)",19 fs 4
26AL,3962.83 5,(3+),37 fs 5
26AL,4191.92 6,(3+),5 fs 2
26AL,4205.86 5,(4+),62 fs 10
26AL,4349.34 7,3+,9 fs 3
26AL,4547.92 6,2+,< 11 fs
26AL,4599.17 5,(3+),5 fs 2
26AL,4705.37 4,(4+),< 3 fs
26AL,4773.35 6,4+,82 fs 12
26AL,4940.79 5,(5+),24 fs 6
26AL,4952.30 4,(3+),10 fs 3
26AL,5010.24 7,(1+),< 6 fs
26AL,5131.93 5,(4+),< 3 fs
26AL,5141.68 6,(2+),< 4 fs
26AL,5195.11 12,(0+),< 24 fs
26AL,5245.28 4,(4+),12 fs 3
26AL,5461.87 13,"0+,(1,2)",< 20 fs
26AL,5487.93 6,"5+,(4-)",17 fs 6
26AL,5494.51 5,(2+),< 5 fs
26AL,5513.48 4,(4+),35 fs 4
26AL,5544.56 7,(2+),15 fs 13
26AL,5671.04 7,1+,< 30 fs
26AL,5726.38 5,(4+),< 5 fs
26AL,5849.21 8,(2+),10 fs 6
26AL,5882.65 9,(3+),< 12 fs
26AL,5924.19 7,(4+),< 12 fs
26AL,5949.93 8,1(+),< 30 fs
26AL,6028.02 4,(1+),< 4 fs
26AL,6086.47 11,"(1-,2+)",14 fs 11
26AL,6120.01 7,(4 TO 6)+,10 fs 3
26AL,6120.01 7,(4 TO 6)+,10 fs 3
26AL,6120.01 7,(4 TO 6)+,10 fs 3
26AL,6197.56 19,"(1,2+)",
26AL,6270.19 11,1+,< 9 fs
26AL,6280.33 9,(3+),< 14 fs
26AL,6363.99 8,(3+),22 fs 11
26AL,6398.64 21,"(1+,2)",
26AL,6414.46 10,(0 TO 2+),
26AL,6414.46 10,(0 TO 2+),
26AL,6414.46 10,(0 TO 2+),
26AL,6436.44 11,(3 TO 5+),< 17 fs
26AL,6436.44 11,(3 TO 5+),< 17 fs
26AL,6436.44 11,(3 TO 5+),< 17 fs
26AL,6495.94 7,(3 TO 5+),< 8 fs
26AL,6495.94 7,(3 TO 5+),< 8 fs
26AL,6495.94 7,(3 TO 5+),< 8 fs
26AL,6550.68 7,"(4+,5-)",
26AL,6598.32 16,(5+),
26AL,6680.45 7,(2+),1.2 eV 3
26AL,6801.12 4,(3+),0.34 eV 6
26AL,6801.60 16,"1+,(1-,2-)",0.34 eV 6
26AL,6815.74 10,"6+,(4,5)",< 15 fs
26AL,6817.86 9,(4+),0.7 eV 3
26AL,6851.50 11,(2+),
26AL,6874.29 8,1+,0.43 eV 23
26AL,6875.73 6,(2+),
26AL,6936.20 8,(1+),
26AL,7000.91 9,(2+),
26AL,7015.01 11,(5+),0.18 eV 5
26AL,7051.22 7,(3+),0.95 eV 11
26AL,7092.78 9,(2+),0.68 eV 12
26AL,7152.84 6,(3)+,90 eV 25
26AL,7198.44 12,1+,
26AL,7222.42 9,(5+),
26AL,7291.33 9,"(4,3)+",55 eV 15
26AL,7291.33 9,"(4,3)+",55 eV 15
26AL,7308.22 5,(2+),
26AL,7366.25 11,(5+),
26AL,7396.92 5,(2)+,45 eV 11
26AL,7425.07 7,(4)+,65 eV 15
26AL,7455.34 19,1+,
26AL,7464.44 11,(3+),
26AL,7495.38 4,(3)+,80 eV 20
26AL,7557.56 25,(2)+,170 eV 40
26AL,7561.2 2,(2)+,3.1 keV 5
26AL,7591.55 10,"(4,3)+",17 eV 4
26AL,7591.55 10,"(4,3)+",17 eV 4
26AL,7596.06 12,(5+),
26AL,7622.68 10,(1+),
26AL,7627.52 12,(5)+,10 eV 3
26AL,7647.8 4,"(1+,2+)",23 eV 14
26AL,7647.8 4,"(1+,2+)",23 eV 14
26AL,7772.25 6,(3+),
26AL,7813.63 18,1+,2.7 keV 3
26AL,7831.61 7,(4)+,110 eV 30
26AL,7865.0 3,(2)+,6.6 keV 10
26AL,7874.29 15,(3)+,1.2 keV 2
26AL,7879.6 3,(1+),3.7 keV 4
26AL,7891.17 9,(4+),900 eV 140
26AL,7921.27 14,"(5+,6+)",
26AL,7921.27 14,"(5+,6+)",
26AL,7938.79 8,(3)+,1.7 keV 3
26AL,7953.35 6,(4)+,320 eV 50
26AL,7982 2,(2)+,12 keV 2
26AL,8008.08 9,(2)+,850 eV 130
26AL,8064 2,(2)+,7.3 keV 11
26AL,8116 2,(3+),5.9 keV 9
26AL,8174 2,(3+),23 keV 3
26AL,8186 2,"(4+,5+)",
26AL,8186 2,"(4+,5+)",
26AL,8227 2,(4+),0.61 keV 9
26AL,8294 2,(3+),25 keV 4
26AL,8602 1,"(5,6)+",
26AL,8602 1,"(5,6)+",
26AL,8747 1,(6+),
26AL,9311 1,"(3+,4)",
26AL,9986 1,(7+),
26AL,13570,(1+),
27AL,0,5/2+,STABLE
27AL,843.76 9,1/2+,35 ps 1
27AL,1014.56 9,3/2+,1.49 ps 7
27AL,2212.01 10,(7/2+),26.6 fs 6
27AL,2734.9 7,5/2+,8.9 fs 12
27AL,2982.00 5,3/2+,3.90 fs 9
27AL,3004.2 8,(9/2+),59 fs 3
27AL,3680.4 9,1/2+,5.4 fs 12
27AL,3956.8 4,3/2+,2.5 fs 2
27AL,4410.2 4,5/2+,1.2 fs 1
27AL,4510.3 5,(11/2+),222 fs 14
27AL,4580.0 8,(7/2+),5.3 fs 6
27AL,4811.6 5,5/2+,1.5 fs 2
27AL,5248.0 6,5/2+,< 4 fs
27AL,5419.9 9,(9/2+),< 14 fs
27AL,5499.8 8,11/2+,< 7 fs
27AL,5667.3 12,9/2+,11 fs 3
27AL,5751.6 10,1/2+,< 10 fs
27AL,6284.7 15,(7/2+),4.9 fs 21
27AL,6533 1,7/2+,2.1 fs 15
27AL,6713 1,9/2+,< 7 fs
27AL,6813.8 7,1/2+,< 10 fs
27AL,6820.7 13,"(3/2+,7/2+)",
27AL,6820.7 13,"(3/2+,7/2+)",
27AL,6947.9 19,11/2+,< 14 fs
27AL,7071.3 14,1/2+,
27AL,7173.6 13,9/2+,< 7 fs
27AL,7280.0 16,(1/2+ TO 5/2+),
27AL,7280.0 16,(1/2+ TO 5/2+),
27AL,7289 2,"(9/2,11/2,13/2)+",< 14 fs
27AL,7289 2,"(9/2,11/2,13/2)+",< 14 fs
27AL,7289 2,"(9/2,11/2,13/2)+",< 14 fs
27AL,7400 1,11/2+,24 fs 10
27AL,7413 1,7/2+,0.50 fs 4
27AL,7443.0 13,"(9/2+,13/2+)",< 7 fs
27AL,7443.0 13,"(9/2+,13/2+)",< 7 fs
27AL,7550 2,"(3/2+,5/2+)",
27AL,7550 2,"(3/2+,5/2+)",
27AL,7578 2,5/2+,0.35 fs 6
27AL,7660 2,(7/2+ TO 11/2+),13 fs 4
27AL,7660 2,(7/2+ TO 11/2+),13 fs 4
27AL,7676.5 15,"(3/2+,5/2+)",
27AL,7676.5 15,"(3/2+,5/2+)",
27AL,7679 1,"(7/2,9/2+)",
27AL,7806 2,"(7/2+,9/2+)",18 fs 4
27AL,7806 2,"(7/2+,9/2+)",18 fs 4
27AL,7858 2,3/2+,
27AL,7948 2,"(9/2+,11/2+)",
27AL,7948 2,"(9/2+,11/2+)",
27AL,8043 2,(5/2+ TO 9/2+),
27AL,8043 2,(5/2+ TO 9/2+),
27AL,8065 2,"(3/2+,5/2+)",20 as 6
27AL,8065 2,"(3/2+,5/2+)",20 as 6
27AL,8130 3,1/2+,
27AL,8324 1,"(3/2,5/2)+",
27AL,8324 1,"(3/2,5/2)+",
27AL,8376 1,"(3/2,5/2)+",
27AL,8376 1,"(3/2,5/2)+",
27AL,8420.7 10,"(3/2,5/2)+",
27AL,8420.7 10,"(3/2,5/2)+",
27AL,8490.3 12,5/2+,
27AL,8521 2,"(1/2,3/2,5/2,7/2+)",
27AL,8675 1,"(7/2,9/2+)",
27AL,8716.6 6,1/2+,
27AL,8774.2 6,(5/2+),3.7 eV 3
27AL,8897.2 5,(5/2+),0.86 eV 17
27AL,8952 1,"(5/2,9/2+)",
27AL,9051.6 3,(5/2+),
27AL,9080.4 3,1/2+,240 eV 25
27AL,9236.0 8,(1/2+),13 eV 11
27AL,9271.6 8,"(1/2+,3/2)",
27AL,9308.2 9,(5/2+),
27AL,9390.0 9,(3/2+),
27AL,9400.8 9,(1/2+),110 eV 50
27AL,9634.5 9,(5/2+),18 eV 5
27AL,9664.7 8,(5/2+),24 eV 8
27AL,9715.9 8,(3/2+),
27AL,9762.8 8,(5/2+),18 eV
27AL,9796.3 9,(7/2+),4 eV 3
27AL,9821.6 9,(3/2+),18 eV
27AL,9846.6 10,(1/2+),210 eV
27AL,9962.8 9,(5/2+),12 eV
27AL,9976.8 9,"(5/2,7/2)+",
27AL,9976.8 9,"(5/2,7/2)+",
27AL,10024.3 9,(5/2+),35 eV
27AL,10092.9 9,"(3/2+,5/2+)",0.47 keV
27AL,10092.9 9,"(3/2+,5/2+)",0.47 keV
27AL,10121.2 10,(7/2+),
27AL,10164.8 9,(5/2+),14 eV
27AL,10243.9 9,(3/2+),0.13 keV
27AL,10244 3,(1/2+),70.4 keV
27AL,10318 2,(1/2+),
27AL,10333 2,(3/2+),1.1 keV
27AL,10338 2,(1/2+),1.3 keV
27AL,10365 2,(9/2+),
27AL,10370 2,(5/2+),45 eV
27AL,10372 2,(3/2+),450 eV
27AL,10409 2,(5/2+),37 eV
27AL,10566 2,(3/2+),0.14 keV
27AL,10588 2,(3/2+),1.4 keV
27AL,10599 3,(3/2+),0.49 keV
27AL,10634 3,(1/2+),0.90 keV
27AL,10648 2,(3/2+),135 eV
27AL,10675 2,(5/2+),0.11 keV
27AL,10716 2,(3/2+),0.18 keV
27AL,10804 2,(1/2+),0.8 keV
27AL,10833 2,"(3/2+,5/2+)",0.34 keV
27AL,10833 2,"(3/2+,5/2+)",0.34 keV
27AL,10835 3,"(3/2+,5/2+)",0.8 keV
27AL,10835 3,"(3/2+,5/2+)",0.8 keV
27AL,10922 3,"(3/2+,5/2+)",0.016 keV
27AL,10922 3,"(3/2+,5/2+)",0.016 keV
27AL,10931 3,(5/2+),1.2 keV 8
27AL,10973 2,(5/2+),0.33 keV
27AL,11072 3,"(3/2+,5/2+)",0.26 keV
27AL,11072 3,"(3/2+,5/2+)",0.26 keV
27AL,11126 3,"(3/2+,5/2+)",0.015 keV
27AL,11126 3,"(3/2+,5/2+)",0.015 keV
28AL,0,3+,2.245 m 2
28AL,30.6382 7,2+,2.07 ns 5
28AL,972.35 3,0+,33 ps 2
28AL,1013.637 9,3+,103 fs 14
28AL,1372.917 20,1+,223 fs 35
28AL,1620.30 4,1+,92 fs 22
28AL,1622.907 20,2+,63 fs 10
28AL,2138.910 10,2+,8 fs 1
28AL,2201.43 3,1+,32 fs 2
28AL,2271.745 19,4+,22 fs 3
28AL,2486.20 6,2+,66 fs 7
28AL,2581.81 22,5+,313 fs 25
28AL,2656.30 4,4+,22 fs 3
28AL,2987.94 12,"(3,1)+",62 fs 55
28AL,2987.94 12,"(3,1)+",62 fs 55
28AL,3011 3,0+,
28AL,3105 1,1+,15 fs 3
28AL,3296.34 4,(3+),8 fs 3
28AL,3347.19 4,2+,6 fs 2
28AL,3542.1 6,(1)+,
28AL,3670.69 7,3+,132 fs 42
28AL,3709.222 16,"(2,3)+",187 fs 21
28AL,3709.222 16,"(2,3)+",187 fs 21
28AL,3760 3,0+,
28AL,3901.00 4,"(1,3)+",187 fs 28
28AL,3901.00 4,"(1,3)+",187 fs 28
28AL,3935.603 18,2+,21 fs 7
28AL,4115 4,1+,
28AL,4244.49 10,2+,42 fs 21
28AL,4313 3,"(1,3,5)+",
28AL,4313 3,"(1,3,5)+",
28AL,4313 3,"(1,3,5)+",
28AL,4461.97 10,"(2,4)+",
28AL,4461.97 10,"(2,4)+",
28AL,4516.94 18,3+,
28AL,4596.56 4,3+,159 fs 83
28AL,4739 2,(0 TO 5)+,
28AL,4739 2,(0 TO 5)+,
28AL,4739 2,(0 TO 5)+,
28AL,4739 2,(0 TO 5)+,
28AL,4739 2,(0 TO 5)+,
28AL,4739 2,(0 TO 5)+,
28AL,4848.73 10,1+,
28AL,4999 8,2+,
28AL,5015.51 3,3+,
28AL,5176.96 6,(1+ TO 3+),7 fs 3
28AL,5176.96 6,(1+ TO 3+),7 fs 3
28AL,5741.115 13,(1 TO 4+),4 fs 1
28AL,5741.115 13,(1 TO 4+),4 fs 1
28AL,5741.115 13,(1 TO 4+),4 fs 1
28AL,5741.115 13,(1 TO 4+),4 fs 1
28AL,5860.78 3,"(2,3+)",< 7 fs
28AL,5904.3 6,"(1,2,3)+",
28AL,5904.3 6,"(1,2,3)+",
28AL,5904.3 6,"(1,2,3)+",
28AL,5992.58 10,0+,
28AL,6070.9 5,"(0,1)+",
28AL,6070.9 5,"(0,1)+",
28AL,6198.874 12,(2+ TO 4+),< 4 fs
28AL,6198.874 12,(2+ TO 4+),< 4 fs
28AL,6316.798 9,2+,< 4 fs
28AL,6419.71 9,"(1+,2+)",
28AL,6419.71 9,"(1+,2+)",
28AL,6441.443 11,"(3+,4)",
28AL,6623.06 4,(1+ TO 4+),
28AL,6623.06 4,(1+ TO 4+),
28AL,6756.68 5,"(2+,3)",
28AL,6893.695 23,"(2+,3)",
28AL,7118 10,"(1,2,3)+",
28AL,7118 10,"(1,2,3)+",
28AL,7118 10,"(1,2,3)+",
28AL,7176.47 5,"(1+,2+,3+)",
28AL,7176.47 5,"(1+,2+,3+)",
28AL,7176.47 5,"(1+,2+,3+)",
28AL,7269.47 6,"(2+,3+,4+)",
28AL,7269.47 6,"(2+,3+,4+)",
28AL,7269.47 6,"(2+,3+,4+)",
28AL,7408.77 11,(1+ TO 4+),
28AL,7408.77 11,(1+ TO 4+),
29AL,0,5/2+,6.56 m 6
29AL,1398.05 16,1/2+,4.5 ps 3
29AL,1754.28 16,7/2+,22 fs 7
29AL,2224.10 19,3/2+,75 fs 17
29AL,2865.70 22,3/2+,71 fs 17
29AL,3061.81 23,(5/2)+,58 fs 21
29AL,3184.54 18,5/2+,124 fs 23
29AL,3433.0 4,1/2+,< 7 ns
29AL,3577.6 5,(9/2)+,25 fs 7
29AL,3641.5 7,(5/2)+,< 70 fs
29AL,3671.7 8,"(3/2,5/2)+",< 70 fs
29AL,3671.7 8,"(3/2,5/2)+",< 70 fs
29AL,3935.2 7,"(3/2,7/2)+",90 fs 21
29AL,3935.2 7,"(3/2,7/2)+",90 fs 21
29AL,4057.0 7,"(1/2,3/2)+",83 fs 48
29AL,4057.0 7,"(1/2,3/2)+",83 fs 48
29AL,4219.6 6,5/2+,42 fs 15
29AL,4403.1 7,(7/2)+,42 fs 21
29AL,4656 10,5/2+,
29AL,5855.2 8,"11/2+,(7/2,9/2+)",29 fs 13
29AL,5855.2 8,"11/2+,(7/2,9/2+)",29 fs 13
29AL,5993.6 10,(1/2+ TO 7/2+),< 62 fs
29AL,5993.6 10,(1/2+ TO 7/2+),< 62 fs
30AL,0,3+,3.62 s 6
30AL,243.90 8,2+,< 8 ns
30AL,687.52 12,1+,0.7 ps 2
30AL,1118.9 3,3+,83 fs 55
30AL,1243.99 10,(4+),118 fs 55
30AL,2413.1 11,(1+),
31AL,0,5/2(+),644 ms 25
31AL,1612.97 24,"1/2(+),3/2(+)",
31AL,1612.97 24,"1/2(+),3/2(+)",
31AL,3239.2 5,"1/2(+),3/2(+)",
31AL,3239.2 5,"1/2(+),3/2(+)",
31AL,3433.4 4,"1/2(+),3/2(+)",
31AL,3433.4 4,"1/2(+),3/2(+)",
31AL,3623.1 5,"1/2(+),3/2(+)",
31AL,3623.1 5,"1/2(+),3/2(+)",
31AL,4143.2 4,"1/2(+),3/2(+)",
31AL,4143.2 4,"1/2(+),3/2(+)",
31AL,4563.3 5,"1/2(+),3/2(+)",
31AL,4563.3 5,"1/2(+),3/2(+)",
31AL,5046.5 15,"1/2(+),3/2(+)",
31AL,5046.5 15,"1/2(+),3/2(+)",
31AL,5149.5 9,"1/2(+),3/2(+)",
31AL,5149.5 9,"1/2(+),3/2(+)",
32AL,0,1+,33.0 ms 2
32AL,734.7 3,(2+),
32AL,956.6 5,(4+),200 ns 20
32AL,2765.1 7,1+,
32AL,3202.0 8,1+,
33AL,0,(5/2)+,41.7 ms 2
33AL,747.5 10,(5/2+),
33AL,1617.9 7,(1/2+:9/2+),
33AL,1617.9 7,(1/2+:9/2+),
35AL,0,(5/2+),38.3 ms 4
39AL,0,(5/2+),7.6 ms 16
22SI,0,0+,29 ms 2
23SI,0,(5/2)+,42.3 ms 4
24SI,0,0+,140 ms 8
24SI,1879 11,2+,10 fs 3
25SI,0,5/2+,220 ms 3
26SI,0,0+,2.2453 s 7
26SI,1797.30 10,2+,440 fs 40
26SI,2787.05 13,2+,146 fs 35
26SI,3336.35 22,0+,1.52 ps 48
26SI,3757.56 15,(3+),< 485 fs
26SI,3842.2 18,(4+),
26SI,4139.06 20,2+,35 fs 3
26SI,4187.77 19,(3+),
26SI,4446.37 18,(4+),< 350 fs
26SI,4796.9 8,(4+),
26SI,4811.0 10,(2+),< 69 fs
26SI,4831.2 4,(0+),
26SI,5147.5 8,2+,
26SI,5229 12,(2+),
26SI,5289.04 18,4+,
26SI,5517.79 23,(4+),
26SI,5676.2 3,1+,
26SI,5890.1 3,0+,
26SI,5929.4 8,3+,
26SI,5945.9 40,(0+),
26SI,6295.3 24,2+,
26SI,6382.7 29,(2+),
26SI,6461.1 28,0+,
26SI,6880 30,(0+),
26SI,7018 6,(3+),
26SI,7154 4,2+,2.7 keV 1
26SI,7198 6,(5+),
26SI,7418.4 23,(4+),1.1 keV 1
26SI,7496.4 40,2+,15.9 keV 3
26SI,7674.2 40,(2+),30.1 keV 5
26SI,8008 14,(3+),4.5 keV 3
26SI,8144 21,"(1-,2+)",
26SI,8269 4,(2+),
26SI,8356 12,(3+),27 keV 8
26SI,8558 17,(2+),
26SI,8689 21,"(1-,2+)",
26SI,8989 7,(4+),
26SI,9170 30,"(1-,2+)",
26SI,9316 5,(4+),
26SI,9606.1 9,(2+),
26SI,9910.2 20,(0+),
26SI,13015 4,(3+),
27SI,0,5/2+,4.15 s 4
27SI,780.9 2,1/2+,35 ps 4
27SI,957.4 2,3/2+,1.20 ps 8
27SI,2163.6 2,7/2+,44 fs 5
27SI,2647.6 3,5/2+,17 fs 2
27SI,2866.3 3,"(3/2,5/2)+",< 3 fs
27SI,2866.3 3,"(3/2,5/2)+",< 3 fs
27SI,2909.9 2,9/2+,52 fs 6
27SI,3540.2 11,1/2+,< 5 fs
27SI,3803.6 11,3/2+,< 7 fs
27SI,4289.2 9,5/2+,3.5 fs 14
27SI,4447.3 5,(11/2+),390 fs 40
27SI,4474.8 7,"7/2+,(9/2+)",< 7 fs
27SI,4474.8 7,"7/2+,(9/2+)",< 7 fs
27SI,4703.8 11,5/2+,< 5 fs
27SI,5062 2,5/2+,21 fs 6
27SI,5262.0 5,(3/2+ TO 9/2+),
27SI,5262.0 5,(3/2+ TO 9/2+),
27SI,5282.8 4,"(7/2,11/2)+",17 fs 4
27SI,5282.8 4,"(7/2,11/2)+",17 fs 4
27SI,5391.7 16,"(3/2,5/2)+",< 31 fs
27SI,5391.7 16,"(3/2,5/2)+",< 31 fs
27SI,6626 3,1/2+,
27SI,7469.3 6,(5/2+),
27SI,7531.6 5,5/2+,< 4.2 fs
27SI,7590.1 1,9/2+,13.9 fs 21
27SI,7651.6 1,(11/2+),8.3 fs 21
27SI,7694.3 9,(5/2+),< 3.5 fs
27SI,7738.8 1,(9/2+),15 fs 3
27SI,7795.2 19,(7/2+),
27SI,7837.9 2,(1/2+),< 0.7 fs
27SI,7899.7 6,(5/2+),10 fs 7
27SI,7909.0 7,(3/2+),
27SI,7966.6 8,(5/2+),8 fs 6
27SI,8031.9 9,(5/2+),
27SI,8167.3 12,(11/2+),< 0.5 keV
27SI,8175 3,"(1/2,3/2)+",
27SI,8175 3,"(1/2,3/2)+",
27SI,8224 2,(7/2+),< 0.5 keV
27SI,8287 3,(7/2+ TO 13/2+),< 1.0 keV
27SI,8287 3,(7/2+ TO 13/2+),< 1.0 keV
27SI,8327 2,"(1/2,3/2)+",
27SI,8327 2,"(1/2,3/2)+",
27SI,8356 2,(3/2+ TO 9/2+),< 0.5 keV
27SI,8356 2,(3/2+ TO 9/2+),< 0.5 keV
27SI,8375.8 9,(5/2+),2.1 fs 14
27SI,8450 2,"(1/2,3/2)+",
27SI,8450 2,"(1/2,3/2)+",
27SI,9066 4,"(1/2,3/2)+",
27SI,9066 4,"(1/2,3/2)+",
28SI,0,0+,STABLE
28SI,1779.030 11,2+,475 fs 17
28SI,4617.86 4,4+,37 fs 4
28SI,4979.92 8,0+,35 fs 2
28SI,6276.20 7,3+,0.78 ps 6
28SI,6690.74 15,0+,147 fs 10
28SI,6887.65 10,4+,33 fs 2
28SI,7380.59 9,2+,5 fs 2
28SI,7416.26 9,2+,29 fs 3
28SI,7799.01 9,3+,225 fs 10
28SI,7933.45 10,2+,11 fs 2
28SI,8258.74 10,2(+),10 fs 2
28SI,8328.38 12,1+,347 fs 166
28SI,8543.56 20,6+,11.4 fs 10
28SI,8588.71 10,3+,11 fs 2
28SI,8945.20 13,5+,58 fs 6
28SI,8953.3 4,"(0+,1,2)",
28SI,9164.68 17,(4+),28 fs 3
28SI,9315.92 10,3+,1.5 fs 6
28SI,9381.55 12,2+,1.1 fs 3
28SI,9417.17 14,4+,78 fs 12
28SI,9479.49 11,(2+),6 fs 2
28SI,9496.04 15,(1+),5 fs 2
28SI,9795.95 14,(2+),
28SI,10209.01 20,(3+),10 fs 3
28SI,10272.3 8,0+,< 42 fs
28SI,10310.92 13,(4+),11 fs 4
28SI,10376.24 12,"(3+,4+)",
28SI,10376.24 12,"(3+,4+)",
28SI,10418.25 22,(5+),18 fs 4
28SI,10514.1 3,(2+),
28SI,10596.18 15,(1+),388 as 83
28SI,10668.05 13,"(2,3)+",15 fs 3
28SI,10668.05 13,"(2,3)+",15 fs 3
28SI,10668.34 11,4+,18 fs 3
28SI,10724.7 4,(1+),624 as 110
28SI,10778 2,1+ TO 5+,
28SI,10778 2,1+ TO 5+,
28SI,10805.5 10,(2+),
28SI,10883.45 14,"(2,3+)",
28SI,10900.42 15,(1+),83 as 7
28SI,10944.0 3,(4+),15 fs 10
28SI,10994 2,"(1,2+)",
28SI,11100.0 10,(6+),11.0 fs 10
28SI,11142 1,(2+),
28SI,11195.22 13,(4+),
28SI,11331.9 9,(6+),< 21 fs
28SI,11432.63 18,(2+),< 21 fs
28SI,11446.00 16,(1+),17.6 as 8
28SI,11510.4 10,(6+),9 fs 2
28SI,11515.5 2,(2+),< 200 eV
28SI,11572.0 7,"(4,5+)",
28SI,11656.9 3,(2+),0.18 eV 7
28SI,11778.7 2,(2+),< 5 eV
28SI,11778.9 10,(5+),
28SI,11780.7 9,(0+ TO 4+),
28SI,11780.7 9,(0+ TO 4+),
28SI,11867.2 4,(4+),59 eV 14
28SI,11899.9 2,4+,< 40 eV
28SI,11975.7 3,"(3-,4+)",< 40 eV
28SI,12015.8 5,"(2+,3)",
28SI,12071.1 1,(2+),1.4 eV
28SI,12152.0 10,(6+),< 7 fs
28SI,12174.6 1,"(5+,3-,4)",9 fs 2
28SI,12240.1 1,(3+),< 80 eV
28SI,12240.9 3,(4+),< 250 eV
28SI,12265.8 23,"(0,1)+",
28SI,12265.8 23,"(0,1)+",
28SI,12289.5 3,(2+),13 eV 3
28SI,12295.2 1,"(2,3)+",< 60 eV
28SI,12295.2 1,"(2,3)+",< 60 eV
28SI,12301.4 1,"(0+,1-,2+)",< 80 eV
28SI,12301.4 1,"(0+,1-,2+)",< 80 eV
28SI,12324.8 1,(4+),< 50 eV
28SI,12331.0 1,(1+),< 80 eV
28SI,12441.1 1,(2+),18 eV 3
28SI,12475.0 1,(4+),< 80 eV
28SI,12541.5 1,(3+),70 eV 14
28SI,12551.2 1,(4+),1.4 eV
28SI,12573.7 1,(2+),110 eV 22
28SI,12635.8 1,"(2,3)+",< 60 eV
28SI,12635.8 1,"(2,3)+",< 60 eV
28SI,12715.0 1,"(0+,1+)",< 100 eV
28SI,12715.0 1,"(0+,1+)",< 100 eV
28SI,12726.2 1,(2+),250 eV 5
28SI,12754.8 1,"(1,2)+",< 100 eV
28SI,12754.8 1,"(1,2)+",< 100 eV
28SI,12805.3 4,"(1-,2+)",< 350 eV
28SI,12816.7 1,(5+),< 100 eV
28SI,12855.1 1,(4+),30 eV 6
28SI,12859.1 3,"(6+,4+)",< 350 eV
28SI,12859.1 3,"(6+,4+)",< 350 eV
28SI,12866.5 1,"(2+,3+)",35 eV 5
28SI,12866.5 1,"(2+,3+)",35 eV 5
28SI,12900.4 1,(4+),550 eV 60
28SI,12902.0 2,(2+),< 200 eV
28SI,12917.3 1,"(2,3)+",780 eV 80
28SI,12917.3 1,"(2,3)+",780 eV 80
28SI,12923.8 1,(3+),600 eV 60
