A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Include,Nucleus,Jf,twoJf,ni,nf
22,Ne,10,12,6819.4,1.6,2,3 FS LT,2363.1,,M1+E2,210.0,21.0,4,True,22Ne,2,4,5,2
23,Ne,10,13,1016.926,0.02,1/2,178 PS 10,1016.9,0.02,[E2],0.75,0.05,1,True,23Ne,5/2,5,1,1
24,Ne,10,14,1981.6,0.4,2,660 FS 150,1981.6,0.4,E2,6.8,1.6,4,True,24Ne,0,0,1,1
28,Ne,10,18,1304.0,3.0,2,5.7 PS 1,1304.0,3,E2,5.0,0.8,4,True,28Ne,0,0,1,1
21,Na,11,10,1716.1,0.3,7/2,37 FS 8,1384.1,0.3,M1+E2,16.0,8,7,True,21Na,5/2,5,1,1
21,Na,11,10,1716.1,0.3,7/2,37 FS 8,1715.9,0.7,[E2],21.0,8,7,True,21Na,3/2,3,1,1
21,Na,11,10,331.9,0.1,5/2,7.08 PS 0.08,331.91,0.1,M1+E2,39.0,3,5,True,21Na,3/2,3,1,1
21,Na,11,10,3544.3,0.4,5/2,15.5 EV 1.4,3544.0,0.6,M1+E2,40.0,30,5,True,21Na,3/2,3,2,1
22,Na,11,11,583.05,0.1,1,243 NS 2,583.04,0.1,E2,0.00944,0.00008,2,True,22Na,3,6,1,1
22,Na,11,11,3059.4,0.6,2,23 FS 3,2476.2,0.3,M1+E2,0.03,0.02,4,True,22Na,1,2,2,1
22,Na,11,11,5100.4,1.3,4,38 FS 12,4209.1,,M1+E2,0.12,0.012,8,True,22Na,4,8,3,1
22,Na,11,11,1936.9,0.2,1,13 FS 4,1936.8,,[E2],2.6,0.9,2,True,22Na,3,6,2,1
22,Na,11,11,1528.1,0.3,5,3.42 PS 0.24,1528.1,0.2,E2,5.2,0.4,10,True,22Na,3,6,1,1
22,Na,11,11,3706.7,0.4,6,59 FS 12,2815.8,0.3,E2,11.0,3,12,True,22Na,4,8,1,1
22,Na,11,11,4710.0,0.4,5,37 FS 14,2726.0,0.4,E2,14.0,6,10,True,22Na,3,6,3,2
